deal_id,valid_from,funnel_step_number,stage_name,historical_owner_name
100086,2024-03-23 05:07:37,1.0,Lead Generation,
100086,2024-05-14 05:07:37,1.0,Lead Generation,Shari Yang
100086,2024-06-03 05:07:37,3.0,Needs Assessment,Shari Yang
100086,2024-07-01 05:07:37,4.0,Proposal/Quote Preparation,Shari Yang
100086,2024-07-22 05:07:37,6.0,Closing,Shari Yang
100086,2024-08-11 05:07:37,7.0,Implementation/Onboarding,Shari Yang
100122,2024-03-21 09:25:54,1.0,Lead Generation,
100122,2024-05-07 09:25:54,1.0,Lead Generation,Keith Owens
100122,2024-05-12 09:25:54,4.0,Proposal/Quote Preparation,Keith Owens
100122,2024-05-28 09:25:54,5.0,Negotiation,Keith Owens
100122,2024-06-08 09:25:54,6.0,Closing,Keith Owens
101434,2024-03-22 05:56:44,1.0,Lead Generation,
101434,2024-04-03 05:56:44,1.0,Lead Generation,Nicole Schroeder
101434,2024-04-11 05:56:44,2.0,Qualified lead,Nicole Schroeder
101434,2024-04-17 05:56:44,3.0,Needs Assessment,Nicole Schroeder
101434,2024-05-17 05:56:44,4.0,Proposal/Quote Preparation,Nicole Schroeder
101434,2024-06-15 05:56:44,7.0,Implementation/Onboarding,Nicole Schroeder
101434,2024-06-19 05:56:44,8.0,Follow-up/Customer Success,Nicole Schroeder
101508,2024-08-24 19:38:12,1.0,Lead Generation,
101508,2024-09-26 19:38:12,1.0,Lead Generation,Taylor Cunningham
101508,2024-09-28 19:38:12,2.0,Qualified lead,Taylor Cunningham
101508,2024-10-13 19:38:12,3.0,Needs Assessment,Taylor Cunningham
101508,2024-10-27 19:38:12,5.0,Negotiation,Taylor Cunningham
101508,2024-11-14 19:38:12,7.0,Implementation/Onboarding,Taylor Cunningham
101700,2024-03-28 05:02:07,1.0,Lead Generation,
101700,2024-04-30 05:02:07,1.0,Lead Generation,Keith Coleman
101700,2024-05-06 05:02:07,2.0,Qualified lead,Keith Coleman
101700,2024-05-28 05:02:07,3.0,Needs Assessment,Keith Coleman
101700,2024-05-31 05:02:07,4.0,Proposal/Quote Preparation,Keith Coleman
101700,2024-06-17 05:02:07,8.0,Follow-up/Customer Success,Keith Coleman
102496,2024-02-27 17:32:02,1.0,Lead Generation,
102496,2024-03-18 17:32:02,1.0,Lead Generation,April Ferrell
102496,2024-04-08 17:32:02,2.0,Qualified lead,April Ferrell
102496,2024-04-12 17:32:02,4.0,Proposal/Quote Preparation,April Ferrell
102496,2024-04-17 17:32:02,5.0,Negotiation,April Ferrell
102496,2024-05-05 17:32:02,6.0,Closing,April Ferrell
102496,2024-05-30 17:32:02,8.0,Follow-up/Customer Success,April Ferrell
102496,2024-06-22 17:32:02,9.0,Renewal/Expansion,April Ferrell
103660,2024-04-15 12:29:56,1.0,Lead Generation,
103660,2024-05-03 12:29:56,1.0,Lead Generation,Ricky King
103660,2024-05-05 12:29:56,3.0,Needs Assessment,Ricky King
103660,2024-05-21 12:29:56,5.0,Negotiation,Ricky King
103660,2024-06-11 12:29:56,8.0,Follow-up/Customer Success,Ricky King
103941,2024-05-14 08:24:40,1.0,Lead Generation,
103941,2024-06-23 08:24:40,1.0,Lead Generation,Stacy Barton
103941,2024-07-21 08:24:40,2.0,Qualified lead,Stacy Barton
103941,2024-08-12 08:24:40,3.0,Needs Assessment,Stacy Barton
103941,2024-08-24 08:24:40,5.0,Negotiation,Stacy Barton
103941,2024-09-17 08:24:40,7.0,Implementation/Onboarding,Stacy Barton
104283,2024-03-30 19:22:41,1.0,Lead Generation,
104283,2024-04-28 19:22:41,1.0,Lead Generation,Michael Moore
104283,2024-05-27 19:22:41,2.0,Qualified lead,Michael Moore
104283,2024-06-18 19:22:41,3.0,Needs Assessment,Michael Moore
104283,2024-07-05 19:22:41,5.0,Negotiation,Michael Moore
104693,2024-07-21 13:30:04,1.0,Lead Generation,
104693,2024-08-28 13:30:04,1.0,Lead Generation,Michelle Kennedy
104693,2024-09-24 13:30:04,3.0,Needs Assessment,Michelle Kennedy
104693,2024-10-11 13:30:04,5.0,Negotiation,Michelle Kennedy
105872,2024-02-25 02:12:39,1.0,Lead Generation,
105872,2024-03-16 02:12:39,1.0,Lead Generation,Rebecca Hubbard
105872,2024-03-22 02:12:39,2.0,Qualified lead,Rebecca Hubbard
105872,2024-03-23 02:12:39,3.0,Needs Assessment,Rebecca Hubbard
105872,2024-03-26 02:12:39,5.0,Negotiation,Rebecca Hubbard
105872,2024-04-09 02:12:39,6.0,Closing,Rebecca Hubbard
107273,2024-03-13 00:41:25,1.0,Lead Generation,
107273,2024-04-24 00:41:25,1.0,Lead Generation,Bailey Jenkins
107273,2024-05-08 00:41:25,3.0,Needs Assessment,Bailey Jenkins
107273,2024-05-22 00:41:25,4.0,Proposal/Quote Preparation,Bailey Jenkins
107273,2024-06-05 00:41:25,8.0,Follow-up/Customer Success,Bailey Jenkins
108447,2024-09-04 09:29:07,1.0,Lead Generation,
108447,2024-09-18 09:29:07,1.0,Lead Generation,Katie Chan
108447,2024-10-18 09:29:07,2.0,Qualified lead,Katie Chan
108447,2024-10-23 09:29:07,3.0,Needs Assessment,Katie Chan
108447,2024-11-04 09:29:07,4.0,Proposal/Quote Preparation,Katie Chan
108447,2024-11-11 09:29:07,6.0,Closing,Katie Chan
108447,2024-11-30 09:29:07,8.0,Follow-up/Customer Success,Katie Chan
108574,2024-05-20 02:08:59,1.0,Lead Generation,
108574,2024-06-22 02:08:59,1.0,Lead Generation,Shane Hickman
108574,2024-06-24 02:08:59,2.0,Qualified lead,Shane Hickman
108574,2024-07-14 02:08:59,4.0,Proposal/Quote Preparation,Shane Hickman
108574,2024-07-29 02:08:59,9.0,Renewal/Expansion,Shane Hickman
109238,2024-08-10 09:46:40,1.0,Lead Generation,
109238,2024-09-24 09:46:40,1.0,Lead Generation,Cindy Smith
109238,2024-10-08 09:46:40,4.0,Proposal/Quote Preparation,Cindy Smith
