month,rep_name,kpi_name,funnel_step,deals_count
2024-01,Aaron Austin,Sales Call 1,2.1,1
2024-01,Adam Thomas,Sales Call 1,2.1,1
2024-01,Alan Gallagher,Sales Call 1,2.1,1
2024-01,Alejandro Harper,Sales Call 2,3.1,1
2024-01,Alexa Harris,Sales Call 2,3.1,1
2024-01,Alex Gardner,Sales Call 2,3.1,1
2024-01,Amanda Ford,Sales Call 1,2.1,1
2024-01,Amanda Henry,Sales Call 2,3.1,1
2024-01,Amanda Kelly,Lead Generation,1.0,1
2024-01,Amanda Smith,Sales Call 2,3.1,1
2024-01,Amber Holmes,Sales Call 1,2.1,1
2024-01,Andrea George,Sales Call 1,2.1,2
2024-01,Andre Williams,Sales Call 2,3.1,1
2024-01,Angela Holmes,Sales Call 2,3.1,1
2024-01,Anthony Anderson,Sales Call 2,3.1,1
2024-01,Benjamin Garcia,Lead Generation,1.0,1
2024-01,Benjamin Haas,Sales Call 1,2.1,1
2024-01,Billy Williams,Sales Call 2,3.1,1
2024-01,Bradley Bowers,Sales Call 1,2.1,1
2024-01,Bradley Hendricks,Sales Call 1,2.1,1
2024-01,Brad Mccarthy,Sales Call 1,2.1,1
2024-01,Brittany Lowe,Sales Call 1,2.1,1
2024-01,Brittany Reyes,Sales Call 1,2.1,1
2024-01,Brooke Kerr,Lead Generation,1.0,1
2024-01,Bryan Hendrix,Lead Generation,1.0,1
2024-01,Bryan Hendrix,Qualified lead,2.0,1
2024-01,Caleb Henderson,Sales Call 2,3.1,1
2024-01,Carrie Moody,Sales Call 2,3.1,1
2024-01,Charles Stout,Sales Call 1,2.1,1
2024-01,Chelsea Edwards,Sales Call 2,3.1,1
2024-01,Chris Anderson,Sales Call 2,3.1,1
2024-01,Christine Baker,Sales Call 2,3.1,1
2024-01,Christine Fox,Lead Generation,1.0,1
2024-01,Christine Fox,Sales Call 2,3.1,1
2024-01,Christine Olson,Sales Call 1,2.1,1
2024-01,Christopher Henderson,Sales Call 1,2.1,1
2024-01,Craig Montoya MD,Sales Call 2,3.1,1
2024-01,Craig Wright,Sales Call 1,2.1,1
2024-01,Daniel Clark,Sales Call 1,2.1,1
2024-01,Danielle Steele,Lead Generation,1.0,1
2024-01,Daniel Williams,Sales Call 2,3.1,1
2024-01,Daryl Garcia,Lead Generation,1.0,1
2024-01,David Rodriguez,Sales Call 1,2.1,1
2024-01,David Todd,Sales Call 1,2.1,1
2024-01,David Winters,Lead Generation,1.0,1
2024-01,Dawn Hester,Sales Call 1,2.1,1
2024-01,Debra Fleming,Sales Call 1,2.1,1
2024-01,Debra Goodwin,Sales Call 1,2.1,1
2024-01,Desiree Clarke,Sales Call 2,3.1,1
2024-01,Douglas Williams,Lead Generation,1.0,1
2024-01,Dustin Smith,Sales Call 1,2.1,1
2024-01,Elizabeth Russell,Lead Generation,1.0,1
